State,Year,Quarter,District,Count,Amount
odisha,2018,4,kendujhar,774382,951193274.8831768
odisha,2018,4,dhenkanal,736715,606485615.306731
odisha,2018,4,jagatsinghapur,729403,588561101.5869067
odisha,2018,2,khordha,1344202,1738879066.970015
odisha,2018,2,baleshwar,711772,628176565.8703398
odisha,2018,2,cuttack,703794,703532192.7454895
odisha,2018,2,ganjam,516556,659317553.0568262
odisha,2018,2,jajapur,516443,374915596.36223686
odisha,2018,2,bhadrak,401149,370601551.17362005
odisha,2018,2,puri,399081,317753882.2036277
odisha,2018,2,kendujhar,354756,396095822.9971422
odisha,2018,2,jagatsinghapur,352035,213321220.30559194
odisha,2018,2,mayurbhanj,309322,308804358.7495179
odisha,2021,1,khordha,45765876,75722041312.73495
odisha,2021,1,cuttack,8289932,14866806447.11658
odisha,2021,1,ganjam,5849764,13763037682.995216
odisha,2021,1,jajapur,4602753,8875206797.09903
odisha,2021,1,baleshwar,4262593,8799570176.640512
odisha,2021,1,puri,3904605,7057319530.168398
odisha,2021,1,sundargarh,3591361,7002917726.513086
odisha,2021,1,kendujhar,3023651,6672384144.204559
odisha,2021,1,bhadrak,2838067,5913171362.618633
odisha,2021,1,anugul,2688530,5923776582.870062
odisha,2021,3,khordha,71647985,108452202806.23245
odisha,2021,3,cuttack,13016632,21926611695.60376
odisha,2021,3,ganjam,9758386,20245873714.529366
odisha,2021,3,jajapur,7272580,11904523018.166103
odisha,2021,3,baleshwar,6888676,12434308111.40699
odisha,2021,3,puri,6111015,9865814428.877203
odisha,2021,3,sundargarh,5579434,10009710570.217995
odisha,2021,3,kendujhar,4942596,9669648441.296114
odisha,2021,3,bhadrak,4514522,7770426087.071075
odisha,2021,3,anugul,4298974,8427870407.924927
odisha,2021,4,khordha,94505879,135122128258.68544
odisha,2021,4,cuttack,17091193,27928768464.56911
odisha,2021,4,ganjam,12765148,25961006849.075542
odisha,2021,4,jajapur,9413690,14846315998.402485
odisha,2021,4,baleshwar,8971332,16112382301.474274
odisha,2021,4,puri,8372818,13192898085.078499
odisha,2021,4,sundargarh,7505779,13524168955.7137
odisha,2021,4,kendujhar,6478836,12263605984.767776
odisha,2021,4,bhadrak,5912920,9896347666.60693
odisha,2021,4,anugul,5595409,10832624236.879738
odisha,2021,2,khordha,51729539,85083429987.67566
odisha,2021,2,cuttack,9410135,16755164887.959581
odisha,2021,2,ganjam,7627913,16847721822.034683
odisha,2021,2,jajapur,5656119,10463482056.827593
odisha,2021,2,baleshwar,5228480,10295354117.300941
odisha,2021,2,puri,4549183,8010886850.312719
odisha,2021,2,sundargarh,4098648,7912972842.987007
odisha,2021,2,kendujhar,3840405,8414558964.419752
odisha,2021,2,bhadrak,3607884,6934665842.085369
odisha,2021,2,anugul,3164512,6629061184.353283
odisha,2024,1,khordha,184579893,200339723171.0
odisha,2024,1,cuttack,71519537,93282644351.0
odisha,2024,1,ganjam,57499836,92784597755.0
odisha,2024,1,jajapur,48108638,59805818397.0
odisha,2024,1,puri,39355871,51019326060.0
